"Date","Month","Year","Site.Name","COUNTY","meanlatitude","meanlongitude","PM2.5","Ozone"
1-01-20,1,1,"Bryson City","Swain",35.434767,-83.442133,29.5,NA
1-01-20,1,1,"Castle Hayne","New Hanover",34.364167,-77.838611,13.5,NA
1-01-20,1,1,"Clemmons Middle","Forsyth",36.026,-80.342,24,NA
1-01-20,1,1,"Durham Armory","Durham",36.0329550008979,-78.904037,33,NA
1-01-20,1,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,47
1-01-20,1,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,21.3333333333333,28
1-01-20,1,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,22,NA
1-01-20,1,1,"Leggett","Edgecombe",35.988278,-77.5843,11,NA
1-01-20,1,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,13,NA
1-01-20,1,1,"Millbrook School","Wake",35.856111,-78.574167,30.6666666666667,32.5
1-01-20,1,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16.5,NA
1-01-20,1,1,"West Johnston Co.","Johnston",35.59095,-78.4622,23,26
1-02-20,2,1,"Bryson City","Swain",35.434767,-83.442133,39,NA
1-02-20,2,1,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
1-02-20,2,1,"Clemmons Middle","Forsyth",36.026,-80.342,35,NA
1-02-20,2,1,"Durham Armory","Durham",36.0329550008979,-78.904037,37.3333333333333,NA
1-02-20,2,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,7,44
1-02-20,2,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,25
1-02-20,2,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,25,NA
1-02-20,2,1,"Leggett","Edgecombe",35.988278,-77.5843,15,NA
1-02-20,2,1,"Linville Falls","Avery",35.972347,-81.933072,12,NA
1-02-20,2,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,11,NA
1-02-20,2,1,"Millbrook School","Wake",35.856111,-78.574167,36.5,28
1-02-20,2,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,23,NA
1-02-20,2,1,"West Johnston Co.","Johnston",35.59095,-78.4622,26.5,25
1-03-20,3,1,"Bryson City","Swain",35.434767,-83.442133,31,NA
1-03-20,3,1,"Castle Hayne","New Hanover",34.364167,-77.838611,18,NA
1-03-20,3,1,"Clemmons Middle","Forsyth",36.026,-80.342,42.6666666666667,NA
1-03-20,3,1,"Durham Armory","Durham",36.0329550008979,-78.904037,41.3333333333333,NA
1-03-20,3,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,36
1-03-20,3,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,16.5
1-03-20,3,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,35.3333333333333,NA
1-03-20,3,1,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
1-03-20,3,1,"Linville Falls","Avery",35.972347,-81.933072,7,NA
1-03-20,3,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,40,NA
1-03-20,3,1,"Millbrook School","Wake",35.856111,-78.574167,42.75,22
1-03-20,3,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,23.3333333333333,NA
1-03-20,3,1,"West Johnston Co.","Johnston",35.59095,-78.4622,35,18
1-04-20,4,1,"Bryson City","Swain",35.434767,-83.442133,21.5,NA
1-04-20,4,1,"Castle Hayne","New Hanover",34.364167,-77.838611,19,NA
1-04-20,4,1,"Clemmons Middle","Forsyth",36.026,-80.342,39,NA
1-04-20,4,1,"Durham Armory","Durham",36.0329550008979,-78.904037,38.5,NA
1-04-20,4,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,34
1-04-20,4,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,18.3333333333333,26
1-04-20,4,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,32,NA
1-04-20,4,1,"Leggett","Edgecombe",35.988278,-77.5843,19.5,NA
1-04-20,4,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,21.5,NA
1-04-20,4,1,"Millbrook School","Wake",35.856111,-78.574167,38.6666666666667,28
1-04-20,4,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,24.5,NA
1-04-20,4,1,"West Johnston Co.","Johnston",35.59095,-78.4622,26,23
1-05-20,5,1,"Bryson City","Swain",35.434767,-83.442133,21.5,NA
1-05-20,5,1,"Castle Hayne","New Hanover",34.364167,-77.838611,10,NA
1-05-20,5,1,"Clemmons Middle","Forsyth",36.026,-80.342,25,NA
1-05-20,5,1,"Durham Armory","Durham",36.0329550008979,-78.904037,30,NA
1-05-20,5,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,13,39
1-05-20,5,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,20,30.5
1-05-20,5,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,22.3333333333333,NA
1-05-20,5,1,"Leggett","Edgecombe",35.988278,-77.5843,6,NA
1-05-20,5,1,"Linville Falls","Avery",35.972347,-81.933072,15,NA
1-05-20,5,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,14,NA
1-05-20,5,1,"Millbrook School","Wake",35.856111,-78.574167,28.75,34.5
1-05-20,5,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16.6666666666667,NA
1-05-20,5,1,"West Johnston Co.","Johnston",35.59095,-78.4622,20,34
1-06-20,6,1,"Bryson City","Swain",35.434767,-83.442133,33,NA
1-06-20,6,1,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
1-06-20,6,1,"Clemmons Middle","Forsyth",36.026,-80.342,25,NA
1-06-20,6,1,"Durham Armory","Durham",36.0329550008979,-78.904037,29.3333333333333,NA
1-06-20,6,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,40
1-06-20,6,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32.25,30.5
1-06-20,6,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,15.6666666666667,NA
