"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
1-02-20,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-05-20,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-08-20,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-11-20,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-01-20,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-04-20,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-07-20,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-10-20,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
3-06-20,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
3-09-20,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
3-12-20,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
4-02-20,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
4-05-20,19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
4-08-20,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
4-11-20,19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
5-02-20,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
5-05-20,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
5-08-20,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
5-11-20,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,49,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
6-01-20,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
6-04-20,16,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
6-07-20,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
6-10-20,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
7-01-20,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
7-04-20,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
7-07-20,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
7-10-20,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
8-03-20,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
8-06-20,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
8-09-20,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
8-12-20,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,27,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
9-02-20,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
9-05-20,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
9-08-20,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
9-11-20,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
10-02-20,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
10-05-20,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
10-08-20,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
10-11-20,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
11-01-20,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
11-04-20,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
11-07-20,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
11-10-20,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
12-01-20,16,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
12-04-20,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
12-07-20,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
12-10-20,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,4,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-02-20,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
1-08-20,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2-01-20,44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2-07-20,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
3-03-20,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
3-09-20,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
4-02-20,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
4-08-20,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
5-02-20,48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
5-08-20,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
6-01-20,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
6-07-20,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
7-01-20,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
7-07-20,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
8-06-20,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
8-12-20,38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
9-05-20,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
9-11-20,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
10-05-20,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
10-11-20,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
11-04-20,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
11-10-20,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
12-04-20,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
12-10-20,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
1-02-20,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
1-08-20,49,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,1,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2-01-20,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2-07-20,17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
3-03-20,10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
3-09-20,27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
4-02-20,42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
4-08-20,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
5-02-20,47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
5-08-20,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,55,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
